Episode,TotalReward,FinalLoss
0,6.8096654275090245,2.5189151763916016
1,2.7904059040588254,0.8055210113525391
2,-13.630815709969752,1.1776708364486694
3,11.542105263157554,0.7865106463432312
4,-9.126164874551984,0.43750786781311035
5,62.61010101010116,1.3745810985565186
6,13.38110236220455,1.2575713396072388
7,29.08963210702295,1.2980949878692627
8,76.07936507936535,2.1191959381103516
9,-6.872164948453516,2.5397424697875977
10,0.5141762452105293,1.8863763809204102
11,16.447058823529414,1.7100375890731812
12,30.54532374100681,1.4269617795944214
13,57.92519685039337,2.331312656402588
14,17.216181229773035,1.8016058206558228
15,50.03783783783801,2.163599967956543
16,8.404620462045877,2.2036795616149902
17,9.270479704797147,0.8691480159759521
18,29.364179104477167,1.2499775886535645
19,61.299999999999855,2.189711809158325
20,39.12307692307648,3.2064168453216553
21,29.428522336769294,1.9364114999771118
22,201.37088607595143,2.283693552017212
23,-7.637579617834422,1.760250210762024
24,71.57500000000155,4.25778865814209
25,140.13856209150435,5.2172064781188965
26,28.866666666666205,3.7652902603149414
27,30.378947368420597,6.333543300628662
28,6.118918918918643,7.0076470375061035
29,1.6265232974908095,3.8701841831207275
30,53.21176470588192,7.09549617767334
31,95.77400722021798,2.434364080429077
32,43.6332247557004,5.2460832595825195
33,5.221299638989143,3.803291082382202
34,11.442424242423858,13.352938652038574
35,108.61814671814841,10.768786430358887
36,235.090243902441,3.975614547729492
37,45.25647840531514,6.3882598876953125
38,-1.557142857142816,6.4352006912231445
39,-5.800000000000118,6.649712562561035
40,113.1007168458788,2.947829246520996
41,246.22366863905515,6.026055335998535
42,73.3111111111127,2.605985164642334
43,101.3585760517815,8.216825485229492
44,58.28540925266978,3.2014904022216797
45,228.17407407407487,5.579812526702881
46,199.13379790940897,3.3196659088134766
47,94.03279742765422,5.64736270904541
48,266.5235294117664,5.391879558563232
49,342.5972644376884,12.26462173461914
50,21.410526315789085,4.550821304321289
51,255.63629343629242,4.5647077560424805
52,498.04117647058285,4.659787178039551
53,32.93954983922788,8.510174751281738
54,56.3176470588245,6.055899620056152
55,209.15121951219675,7.964641571044922
56,429.20960854092203,8.70771312713623
57,41.910144927536315,5.189071178436279
58,269.89230769230454,8.524600982666016
59,270.43396226414916,8.90422248840332
